from,to,type,price,Pickup-time,Drop-off-time
Kempegowda International Airport Bengaluru,Whitefield,UberGoPerson4,₹934.18,2023-10-22 23:22:03.357937,0:27
Kempegowda International Airport Bengaluru,Whitefield,PremierPerson4,"₹1,142.62",2023-10-22 23:22:03.358960,0:26
Kempegowda International Airport Bengaluru,Whitefield,UberXLPerson6,"₹1,679.91",2023-10-22 23:22:03.358960,0:30
Kempegowda International Airport Bengaluru,Whitefield,Go SedanPerson4,"₹1,068.14",2023-10-22 23:22:03.359970,0:26
Kempegowda International Airport Bengaluru,Vajarahalli,UberGoPerson4,"₹1,473.78",2023-10-22 23:22:22.292708,0:38
Kempegowda International Airport Bengaluru,Vajarahalli,PremierPerson4,"₹1,794.83",2023-10-22 23:22:22.292708,0:37
Kempegowda International Airport Bengaluru,Vajarahalli,UberXLPerson6,"₹2,651.82",2023-10-22 23:22:22.292708,0:40
Kempegowda International Airport Bengaluru,Vajarahalli,Go SedanPerson4,"₹1,685.37",2023-10-22 23:22:22.294246,0:37
Kempegowda International Airport Bengaluru,Electronic City,UberGoPerson4,"₹1,401.31",2023-10-22 23:22:41.243431,0:40
Kempegowda International Airport Bengaluru,Electronic City,PremierPerson4,"₹1,682.92",2023-10-22 23:22:41.243431,0:39
Kempegowda International Airport Bengaluru,Electronic City,UberXLPerson6,"₹2,441.26",2023-10-22 23:22:41.244471,0:42
Kempegowda International Airport Bengaluru,Electronic City,Go SedanPerson4,"₹1,588.10",2023-10-22 23:22:41.244471,0:39
Kempegowda International Airport Bengaluru,Nagarabhavi,UberGoPerson4,"₹1,095.29",2023-10-22 23:23:00.033245,0:18
Kempegowda International Airport Bengaluru,Nagarabhavi,PremierPerson4,"₹1,315.28",2023-10-22 23:23:00.033245,0:17
Kempegowda International Airport Bengaluru,Nagarabhavi,UberXLPerson6,"₹1,887.51",2023-10-22 23:23:00.034244,0:20
Kempegowda International Airport Bengaluru,Nagarabhavi,Go SedanPerson4,"₹1,237.58",2023-10-22 23:23:00.034244,0:16
Kempegowda International Airport Bengaluru,Kalyan Nagar,UberGoPerson4,₹941.60,2023-10-22 23:23:19.096829,0:07
Kempegowda International Airport Bengaluru,Kalyan Nagar,PremierPerson4,"₹1,122.64",2023-10-22 23:23:19.096829,0:06
Kempegowda International Airport Bengaluru,Kalyan Nagar,UberXLPerson6,"₹1,577.16",2023-10-22 23:23:19.096829,0:09
Kempegowda International Airport Bengaluru,Kalyan Nagar,Go SedanPerson4,"₹1,055.76",2023-10-22 23:23:19.097828,0:06
"Marathahalli, Bengaluru, Karnataka",Kempegowda International Airport Bengaluru,Uber GoPerson4,"₹1,090.37",2023-10-22 23:23:44.256264,0:17
"Marathahalli, Bengaluru, Karnataka",Kempegowda International Airport Bengaluru,Go Sedan 2Person4,"₹1,169.06",2023-10-22 23:23:44.257264,0:18
"Marathahalli, Bengaluru, Karnataka",Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,326.41",2023-10-22 23:23:44.257264,0:18
"Marathahalli, Bengaluru, Karnataka",Kempegowda International Airport Bengaluru,UberXLPerson6,"₹2,238.32",2023-10-22 23:23:44.258272,0:18
Koramangala,Kempegowda International Airport Bengaluru,Uber GoPerson4,"₹1,109.53",2023-10-22 23:24:06.822271,0:20
Koramangala,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,"₹1,189.78",2023-10-22 23:24:06.823269,0:20
Koramangala,Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,350.29",2023-10-22 23:24:06.823269,0:21
Koramangala,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹2,106.30",2023-10-22 23:24:06.824276,0:20
Indiranagar,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹994.55,2023-10-22 23:24:28.046935,0:12
Indiranagar,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,"₹1,065.38",2023-10-22 23:24:28.047953,0:12
Indiranagar,Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,207.02",2023-10-22 23:24:28.047953,0:13
Indiranagar,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹2,027.30",2023-10-22 23:24:28.048933,0:14
Yeshwantpur Bus Stand,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹745.49,2023-10-22 23:24:50.512606,0:00
Yeshwantpur Bus Stand,Kempegowda International Airport Bengaluru,PremierPerson4,₹896.72,2023-10-22 23:24:50.514143,0:01
